Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_5cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_5cm_Media,Temperatura_Suelo_10cm_Media,Temperatura_Inte_5cm,Temperatura_Intemperie_150cm_Minima,Humedad_Suelo,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio
2019-11-20 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2019-11-21 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-22 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-23 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-24 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-25 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-26 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-27 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-28 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-29 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-11-30 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-03 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-04 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-06 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-07 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-08 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-09 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-10 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-12 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-13 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-14 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-15 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-16 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-17 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-18 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-20 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-21 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-22 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-23 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-24 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-25 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-26 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-27 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-28 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-29 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-30 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2019-12-31 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-03 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-04 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-05 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-06 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-07 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-08 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-09 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-10 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-12 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-13 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-14 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-15 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-16 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-17 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-18 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-20 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-21 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-22 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-23 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-24 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-25 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-26 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-27 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-28 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-29 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-01-30 00:00:00.0,23.85555,25.0,23.1,,,,,,,,,,,,,17.78091,60,60,15.60635,,,C ,,C ,,,,0.0,-23.90403
2020-01-31 00:00:00.0,23.81458,24.8,22.5,,,,,,,,,,,,,19.21568,65,65,16.86449,,,C ,,C ,,,,0.0,-23.90403
2020-02-01 00:00:00.0,24.71181,25.8,23.5,,,,,,,,,,,,,22.91528,73,71,19.64068,,,C ,,C ,,,,0.0,-23.90403
2020-02-02 00:00:00.0,26.05764,27.2,25.1,,,,,,,,,,,,,27.52425,81,79,22.65674,,,C ,,C ,,,,0.0,-23.90403
2020-02-03 00:00:00.0,27.60556,28.6,26.9,,,,,,,,,,,,,30.96446,83,80,24.61351,,,C ,,C ,,,,0.0,-23.90403
2020-02-04 00:00:00.0,29.11677,31.4,28.1,,,,,,,,,,,,,33.86324,84,81,26.10604,,,C ,,C ,,,,0.0,-23.73803
2020-02-05 00:00:00.0,,29.8,27.3,,,,,,,,,,,,,,,32,,,,C ,,C ,,,,,
2020-02-06 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-07 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-08 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-09 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-10 00:00:00.0,,25.0,23.7,,,,,,,,,,,,,,,41,,,,C ,,C ,,,,,
2020-02-11 00:00:00.0,24.55348,25.1,23.8,,,,,,,,,,,,,20.87331,67,68,18.17027,,,C ,,C ,,,,0.0,-23.90403
2020-02-12 00:00:00.0,25.14652,25.8,24.6,,,,,,,,,,,,,22.98537,72,71,19.70552,,,C ,,C ,,,,0.0,-23.90403
2020-02-13 00:00:00.0,25.89029,26.8,25.3,,,,,,,,,,,,,25.64322,76,76,21.49019,,,C ,,C ,,,,0.0,-23.90403
2020-02-14 00:00:00.0,,26.7,25.5,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-15 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-16 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-17 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-18 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2020-02-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2020-02-20 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-21 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-22 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-23 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-24 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-25 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-26 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-27 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-28 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-02-29 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-03-01 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-03-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-03-03 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,
2020-03-04 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2020-03-13 00:00:00.0,,,,,,,,,,,,,,,,,,77,,,,  ,,  ,,,,,
2020-03-14 00:00:00.0,25.58541,26.2,24.5,,,,,,,,,,0.0,,,24.52082,76,76,20.74072,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-15 00:00:00.0,23.55973,24.5,23.0,,,,,,,,,,0.0,,,18.7795,65,65,16.50023,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-16 00:00:00.0,22.84098,23.3,21.9,,,,,,,,,,0.0,,,17.35412,63,62,15.27399,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-17 00:00:00.0,22.4875,22.9,21.8,,,,,,,,,,0.0,,,18.76502,70,70,16.47109,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-18 00:00:00.0,22.22015,22.9,21.7,,,,,,,,,,0.0,,,20.44081,76,77,17.84674,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-19 00:00:00.0,22.2125,22.7,21.6,,,,,,,,,,0.0,,,18.28761,68,68,16.09008,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-20 00:00:00.0,22.1757,23.0,21.3,,,,,,,,,,0.0,,,17.49529,65,65,15.39359,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-21 00:00:00.0,22.88194,23.7,22.1,,,,,,,,,,0.0,,,18.00441,64,64,15.84815,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
2020-03-22 00:00:00.0,23.16319,23.9,22.2,,,,,,,,,,0.0,,,17.87247,63,63,15.72589,,0.1000001,C ,0.1250002,C ,0.1,,0.0,0.0,-23.90403
